"Only tabby orders can be verified","يمكن التحقق من أوامر tabby فقط"
"Order %1 doesn't contain payment information","لا يحتوي الطلب٪ 1 على معلومات الدفع"
"Payment with Tabby is failed","فشل الدفع مع Tabby"
%1,%1
"Order %1 successfully verified and processed","تم التحقق من الطلب٪ 1 ومعالجته بنجاح"
"Selected payment method not available.","طريقة الدفع المختارة غير متوفرة."
"Response not have status field or payment rejected","الرد ليس له حقل الحالة أو الدفع مرفوض"
"Something went wrong. Please try again later or contact support.","هناك خطأ ما. يرجى المحاولة مرة أخرى في وقت لاحق أو الاتصال بالدعم."
"We cannot retrieve the payment information object instance.","لا يمكننا استرداد مثيل كائن معلومات الدفع."
"Sorry, Tabby is unable to approve this purchase. Please use an alternative payment method for your order.","نأسف، تابي غير قادرة على الموافقة على هذه العملية. الرجاء استخدام طريقة دفع أخرى."
"This purchase is above your current spending limit with Tabby, try a smaller cart or use another payment method","هذا الشراء أعلى من حد الإنفاق الحالي الخاص بك مع Tabby ، جرب عربة تسوق أصغر أو استخدم طريقة دفع أخرى"
"The purchase amount is below the minimum amount required to use Tabby, try adding more items or use another payment method","مبلغ الشراء أقل من الحد الأدنى للمبلغ المطلوب لاستخدام Tabby ، حاول إضافة المزيد من العناصر أو استخدم طريقة دفع أخرى"
